woy,Hemisphere,chronotype,within_variation,sd,se,ci
11,Southern,Afternoon,0.514912839,0.099280523,0.000414801,0.000813012
11,Southern,Evening,0.515639906,0.098192654,0.000443336,0.000868944
11,Southern,Morning,0.50918003,0.096933739,0.000649349,0.00127277
11,Southern,Night Owl,0.491687708,0.104732041,0.001348047,0.002642653
12,Northern,Afternoon,0.493234567,0.110556542,0.000279984,0.000548763
12,Northern,Evening,0.49014349,0.113393903,0.000347435,0.000680969
12,Northern,Morning,0.496973368,0.107900467,0.000504743,0.000989304
12,Northern,Night Owl,0.469866256,0.113996243,0.000980434,0.001921787
12,Southern,Afternoon,0.515614071,0.098845889,0.000409013,0.000801668
12,Southern,Evening,0.517878296,0.096557266,0.000431589,0.000845918
12,Southern,Morning,0.510308967,0.09752418,0.000645572,0.001265366
12,Southern,Night Owl,0.493430148,0.104626928,0.001328978,0.002605257
13,Northern,Afternoon,0.493931784,0.107425242,0.000269662,0.000528531
13,Northern,Evening,0.489714772,0.107063587,0.000322746,0.000632577
13,Northern,Morning,0.496791648,0.106779824,0.000497528,0.000975163
13,Northern,Night Owl,0.470310432,0.112716017,0.000954535,0.001871017
13,Southern,Afternoon,0.515391537,0.097953533,0.000401523,0.000786987
13,Southern,Evening,0.516868763,0.097184046,0.00043017,0.000843137
13,Southern,Morning,0.510827101,0.095818632,0.000623792,0.001222673
13,Southern,Night Owl,0.492434237,0.106536511,0.001338627,0.002624161
14,Northern,Afternoon,0.493006462,0.105262314,0.000261681,0.000512888
14,Northern,Evening,0.489936431,0.105856747,0.000315934,0.000619226
14,Northern,Morning,0.495219853,0.104969716,0.000482503,0.000945713
14,Northern,Night Owl,0.468869198,0.110153367,0.000926706,0.001816466
14,Southern,Afternoon,0.513616197,0.097908883,0.000398851,0.00078175
14,Southern,Evening,0.515374643,0.097019238,0.000426212,0.00083538
14,Southern,Morning,0.509818752,0.096433496,0.000623125,0.001221364
14,Southern,Night Owl,0.48885482,0.106927724,0.001332957,0.002613039
15,Northern,Afternoon,0.493227747,0.103632076,0.000255444,0.000500664
15,Northern,Evening,0.489375312,0.104653106,0.000309667,0.000606942
15,Northern,Morning,0.495197843,0.102254794,0.000466295,0.000913945
15,Northern,Night Owl,0.470107621,0.109907883,0.000919546,0.00180243
15,Southern,Afternoon,0.513471497,0.09794517,0.000397436,0.000778976
15,Southern,Evening,0.514955276,0.096801413,0.000422175,0.000827466
15,Southern,Morning,0.506475079,0.097034936,0.000622339,0.001219822
15,Southern,Night Owl,0.488887826,0.104749176,0.00129577,0.002540132
16,Northern,Afternoon,0.492602542,0.10335456,0.00025307,0.000496012
16,Northern,Evening,0.489691007,0.104027493,0.00030545,0.000598677
16,Northern,Morning,0.495494158,0.101665303,0.000460099,0.000901801
16,Northern,Night Owl,0.468838507,0.109106551,0.000903622,0.001771214
16,Southern,Afternoon,0.515274374,0.096890036,0.000388032,0.000760544
16,Southern,Evening,0.516243144,0.09577779,0.0004115,0.000806542
16,Southern,Morning,0.508804566,0.096639325,0.000612046,0.001199646
16,Southern,Night Owl,0.492483412,0.102984636,0.001252191,0.002454689
17,Northern,Afternoon,0.49277469,0.103643223,0.000252562,0.000495017
17,Northern,Evening,0.489824529,0.104468742,0.000305206,0.000598199
17,Northern,Morning,0.495495745,0.102466991,0.000460736,0.000903049
17,Northern,Night Owl,0.468858163,0.109457922,0.000905601,0.001775093
17,Southern,Afternoon,0.514084042,0.097610712,0.000388112,0.0007607
17,Southern,Evening,0.515902626,0.096199111,0.000411081,0.000805722
17,Southern,Morning,0.509122234,0.096362068,0.000604582,0.001185015
17,Southern,Night Owl,0.490488541,0.102889785,0.001244796,0.002440189
18,Northern,Afternoon,0.492309155,0.10439787,0.000253107,0.000496084
18,Northern,Evening,0.488591811,0.103402097,0.000300013,0.00058802
18,Northern,Morning,0.495484377,0.102730175,0.000459736,0.000901088
18,Northern,Night Owl,0.466947263,0.110331883,0.000904056,0.001772061
18,Southern,Afternoon,0.514897869,0.098188288,0.000387518,0.000759536
18,Southern,Evening,0.517005641,0.096245151,0.000408479,0.000800622
18,Southern,Morning,0.509667711,0.094722855,0.00059044,0.001157296
18,Southern,Night Owl,0.49038886,0.102250178,0.001226865,0.00240503
19,Northern,Afternoon,0.493191856,0.10346125,0.000249079,0.00048819
19,Northern,Evening,0.489603527,0.103286328,0.000297372,0.000582845
19,Northern,Morning,0.495646142,0.102182719,0.000454213,0.000890262
19,Northern,Night Owl,0.467400188,0.107733284,0.000878001,0.001720989
19,Southern,Afternoon,0.518237268,0.097038634,0.000379628,0.000744071
19,Southern,Evening,0.518259229,0.095413638,0.000401206,0.000786366
19,Southern,Morning,0.512887276,0.09650337,0.000594884,0.001166006
19,Southern,Night Owl,0.491453543,0.102451179,0.001210006,0.002371969
20,Northern,Afternoon,0.492399393,0.102530916,0.000245738,0.000481642
20,Northern,Evening,0.489697448,0.103196471,0.000295919,0.000579997
20,Northern,Morning,0.496444209,0.101972868,0.000452543,0.000886989
20,Northern,Night Owl,0.467716685,0.107947191,0.000876115,0.001717291
20,Southern,Afternoon,0.516442502,0.097790765,0.000381092,0.00074694
20,Southern,Evening,0.517691159,0.096564955,0.000404037,0.000791916
20,Southern,Morning,0.511999437,0.097645492,0.000597245,0.001170632
20,Southern,Night Owl,0.488839629,0.106215142,0.001240862,0.002432446
21,Northern,Afternoon,0.492025342,0.102731258,0.000244613,0.000479437
21,Northern,Evening,0.488320382,0.102953148,0.00029288,0.00057404
21,Northern,Morning,0.495249571,0.101413548,0.000446185,0.000874526
21,Northern,Night Owl,0.466239058,0.105518301,0.000847489,0.001661177
21,Southern,Afternoon,0.517054737,0.097851909,0.000376976,0.000738872
21,Southern,Evening,0.518511885,0.095607779,0.000393871,0.00077199
21,Southern,Morning,0.51107516,0.097377459,0.000587711,0.001151942
21,Southern,Night Owl,0.493186222,0.099358057,0.001143634,0.002241841
22,Northern,Afternoon,0.493831635,0.101453301,0.000239594,0.000469599
22,Northern,Evening,0.490069164,0.102439918,0.000288581,0.000565615
22,Northern,Morning,0.496147718,0.101904567,0.00044538,0.00087295
22,Northern,Night Owl,0.468236162,0.106459722,0.000848238,0.001662643
22,Southern,Afternoon,0.516759162,0.09699538,0.000370325,0.000725836
22,Southern,Evening,0.518901861,0.095769271,0.000391734,0.000767801
22,Southern,Morning,0.512409468,0.094369335,0.000565512,0.001108431
22,Southern,Night Owl,0.493900022,0.104141218,0.001186645,0.002326148
23,Northern,Afternoon,0.494268114,0.102041368,0.00023967,0.000469749
23,Northern,Evening,0.49112342,0.102118865,0.000285806,0.000560175
23,Northern,Morning,0.496362608,0.102082911,0.000443353,0.000868976
23,Northern,Night Owl,0.467854804,0.10669288,0.000845465,0.001657207
23,Southern,Afternoon,0.517961441,0.096463558,0.000364489,0.000714397
23,Southern,Evening,0.519575297,0.095128834,0.000385257,0.000755105
23,Southern,Morning,0.512834204,0.095108961,0.000563308,0.00110411
23,Southern,Night Owl,0.494864199,0.101190653,0.001136615,0.002228065
24,Northern,Afternoon,0.494818644,0.101760544,0.00023774,0.000465965
24,Northern,Evening,0.491251746,0.102391248,0.000285666,0.0005599
24,Northern,Morning,0.497055722,0.101508947,0.000439589,0.000861599
24,Northern,Night Owl,0.468935112,0.106067575,0.00083386,0.001634459
24,Southern,Afternoon,0.518756891,0.09562931,0.000357758,0.000701206
24,Southern,Evening,0.519735739,0.094153286,0.000377184,0.000739281
24,Southern,Morning,0.51349308,0.095286427,0.000558569,0.001094821
24,Southern,Night Owl,0.493810456,0.100473264,0.001112053,0.002179908
25,Northern,Afternoon,0.494996152,0.101684824,0.000236442,0.000463422
25,Northern,Evening,0.490940965,0.103188819,0.000286748,0.000562022
25,Northern,Morning,0.496625598,0.102475167,0.000441629,0.000865597
25,Northern,Night Owl,0.468325991,0.106336148,0.000834041,0.001634812
25,Southern,Afternoon,0.518000768,0.095644414,0.000354977,0.000695754
25,Southern,Evening,0.519770295,0.09446034,0.000375823,0.000736614
25,Southern,Morning,0.511267591,0.095304547,0.000553041,0.001083985
25,Southern,Night Owl,0.493208721,0.102316825,0.001114248,0.002184199
26,Northern,Afternoon,0.495788202,0.101701714,0.000235312,0.000461205
26,Northern,Evening,0.49217089,0.103002403,0.000284604,0.000557819
26,Northern,Morning,0.497915669,0.102816107,0.000441535,0.000865413
26,Northern,Night Owl,0.469826022,0.104942328,0.000816901,0.001601213
26,Southern,Afternoon,0.519149076,0.094823248,0.000348806,0.000683658
26,Southern,Evening,0.52051621,0.094813573,0.00037349,0.000732041
26,Southern,Morning,0.51216308,0.094502489,0.00054363,0.001065537
26,Southern,Night Owl,0.494505372,0.099667468,0.001066649,0.002090883
27,Northern,Afternoon,0.494941591,0.101489316,0.000233791,0.000458224
27,Northern,Evening,0.491719906,0.102607965,0.000282405,0.000553509
27,Northern,Morning,0.497456873,0.102064735,0.000436242,0.000855037
27,Northern,Night Owl,0.46917378,0.106507223,0.000822701,0.001612581
27,Southern,Afternoon,0.524378363,0.096103271,0.000351562,0.000689061
27,Southern,Evening,0.5257023,0.094387569,0.000367936,0.000721154
27,Southern,Morning,0.517229439,0.097147722,0.000556778,0.001091307
27,Southern,Night Owl,0.498986724,0.099318878,0.00104166,0.002041888
28,Northern,Afternoon,0.496474309,0.102531877,0.000236221,0.000462988
28,Northern,Evening,0.49277269,0.102667746,0.000282121,0.000552953
28,Northern,Morning,0.497533364,0.103803348,0.000444767,0.000871747
28,Northern,Night Owl,0.468055149,0.108120457,0.000832954,0.001632676
28,Southern,Afternoon,0.530581481,0.12376954,0.000529501,0.001037825
28,Southern,Evening,0.531711425,0.123476881,0.000557857,0.001093407
28,Southern,Morning,0.522825249,0.126626776,0.000877387,0.001719747
28,Southern,Night Owl,0.502808753,0.129957272,0.001605145,0.003146607
29,Northern,Afternoon,0.495530237,0.102585777,0.000234904,0.000460407
29,Northern,Evening,0.492611025,0.102987471,0.000282107,0.000552924
29,Northern,Morning,0.497196733,0.102607007,0.00043657,0.000855681
29,Northern,Night Owl,0.468671538,0.106824585,0.000819524,0.001606352
29,Southern,Afternoon,0.523142685,0.118633323,0.000724817,0.00142068
29,Southern,Evening,0.522600513,0.122540407,0.000841988,0.001650361
29,Southern,Morning,0.519211559,0.121502193,0.001293895,0.002536336
29,Southern,Night Owl,0.497765596,0.124498229,0.002490463,0.004883583
30,Northern,Afternoon,0.496462643,0.101564706,0.000231908,0.000454534
30,Northern,Evening,0.493043821,0.102798381,0.000280502,0.000549778
30,Northern,Morning,0.498504679,0.102116558,0.000433562,0.000849785
30,Northern,Night Owl,0.468236207,0.105427137,0.000807119,0.001582036
30,Southern,Afternoon,0.523530385,0.118463441,0.000713066,0.001397645
30,Southern,Evening,0.523918674,0.120749066,0.000817666,0.001602685
30,Southern,Morning,0.516958168,0.119267603,0.001256075,0.002462192
30,Southern,Night Owl,0.501498922,0.125636935,0.002481664,0.004866272
31,Northern,Afternoon,0.496147554,0.101712848,0.000231155,0.000453059
31,Northern,Evening,0.492927614,0.100928061,0.00027374,0.000536525
31,Northern,Morning,0.49750491,0.102919421,0.00043417,0.000850976
31,Northern,Night Owl,0.468262252,0.104307785,0.000793588,0.001555513
31,Southern,Afternoon,0.523806824,0.117138322,0.000697227,0.001366599
31,Southern,Evening,0.526389681,0.120324293,0.000805859,0.001579541
31,Southern,Morning,0.517183586,0.117433426,0.001222204,0.002395791
31,Southern,Night Owl,0.498776979,0.126947442,0.002485346,0.004873451
32,Northern,Afternoon,0.496079768,0.100982484,0.000228279,0.000447422
32,Northern,Evening,0.493269757,0.101590185,0.000273762,0.000536569
32,Northern,Morning,0.497357753,0.102079088,0.000427005,0.000836931
32,Northern,Night Owl,0.469243874,0.106040289,0.000800812,0.00156967
32,Southern,Afternoon,0.5235108,0.118106279,0.00069625,0.001364683
32,Southern,Evening,0.525023753,0.120775414,0.000799189,0.001566465
32,Southern,Morning,0.517142565,0.118661955,0.001223514,0.002398352
32,Southern,Night Owl,0.497536525,0.122085505,0.002376536,0.004660063
33,Northern,Afternoon,0.494831732,0.10179693,0.000229916,0.000450631
33,Northern,Evening,0.491719529,0.102225847,0.00027496,0.000538916
33,Northern,Morning,0.497561769,0.102007027,0.000426845,0.000836619
33,Northern,Night Owl,0.468996253,0.105505616,0.000793971,0.001556262
33,Southern,Afternoon,0.529364304,0.120552679,0.000711191,0.001393968
33,Southern,Evening,0.531765258,0.121243331,0.000801864,0.001571708
33,Southern,Morning,0.521708189,0.120640168,0.001252193,0.002454573
33,Southern,Night Owl,0.502110485,0.122728364,0.00236366,0.00463477
34,Northern,Afternoon,0.494262603,0.101588854,0.000227811,0.000446505
34,Northern,Evening,0.491234873,0.100766183,0.000268813,0.000526868
34,Northern,Morning,0.496737895,0.102709338,0.000426485,0.000835912
34,Northern,Night Owl,0.468222845,0.104167406,0.000779586,0.001528064
34,Southern,Afternoon,0.519866279,0.117141862,0.000686297,0.001345173
34,Southern,Evening,0.521219689,0.119629509,0.000785626,0.00153988
34,Southern,Morning,0.513963271,0.116192189,0.001186995,0.002326761
34,Southern,Night Owl,0.496704619,0.120278396,0.002322081,0.004553249
35,Northern,Afternoon,0.493341323,0.10079718,0.000223161,0.00043739
35,Northern,Evening,0.489809818,0.100376224,0.000264232,0.00051789
35,Northern,Morning,0.494855403,0.100618569,0.000411322,0.000806193
35,Northern,Night Owl,0.466993522,0.103278229,0.000764144,0.001497794
35,Southern,Afternoon,0.520144003,0.115109244,0.000667729,0.001308779
35,Southern,Evening,0.522738411,0.118019623,0.000766038,0.001501484
35,Southern,Morning,0.514625358,0.115154707,0.001167115,0.002287788
35,Southern,Night Owl,0.49579872,0.121537132,0.00231678,0.004542804
36,Northern,Afternoon,0.492499617,0.099637467,0.000217974,0.000427224
36,Northern,Evening,0.489341545,0.099980264,0.000259122,0.000507875
36,Northern,Morning,0.494223579,0.100611632,0.000406184,0.000796122
36,Northern,Night Owl,0.466708692,0.104151247,0.000764723,0.001498928
36,Southern,Afternoon,0.518712938,0.115412617,0.000665913,0.001305219
36,Southern,Evening,0.51996212,0.116337599,0.000749505,0.001469077
36,Southern,Morning,0.513449856,0.114154902,0.001146027,0.002246446
36,Southern,Night Owl,0.495385628,0.121573419,0.002304114,0.004517946
37,Northern,Afternoon,0.492006139,0.099792008,0.000216876,0.000425071
37,Northern,Evening,0.489051167,0.099945242,0.000257117,0.000503945
37,Northern,Morning,0.494678151,0.099519394,0.000400326,0.000784639
37,Northern,Night Owl,0.465697171,0.102931203,0.000750603,0.00147125
37,Southern,Afternoon,0.519340946,0.115576012,0.000664834,0.001303103
37,Southern,Evening,0.521500622,0.117565296,0.00075316,0.001476239
37,Southern,Morning,0.513328175,0.112655077,0.001122796,0.002200904
37,Southern,Night Owl,0.500851508,0.119725241,0.002250968,0.004413704
38,Northern,Afternoon,0.491869863,0.10045231,0.000217116,0.000425541
38,Northern,Evening,0.488734689,0.099669594,0.000253856,0.000497552
38,Northern,Morning,0.49413552,0.100372486,0.000399687,0.000783388
38,Northern,Night Owl,0.467525889,0.103572221,0.000752482,0.001474931
38,Southern,Afternoon,0.516526758,0.115058469,0.000656214,0.001286206
38,Southern,Evening,0.518228778,0.117285734,0.000744645,0.001459549
38,Southern,Morning,0.50950621,0.113071452,0.0011193,0.002194048
38,Southern,Night Owl,0.495329565,0.121346122,0.002270632,0.004452245
39,Northern,Afternoon,0.489973518,0.099399419,0.000213183,0.000417834
39,Northern,Evening,0.486753413,0.099626715,0.000252035,0.000493983
39,Northern,Morning,0.492616776,0.099866151,0.000394429,0.000773081
39,Northern,Night Owl,0.466203355,0.102862838,0.000740845,0.001452121
39,Southern,Afternoon,0.517262595,0.109738659,0.000613842,0.001203153
39,Southern,Evening,0.517192314,0.110677732,0.000683691,0.001340072
39,Southern,Morning,0.512772334,0.108041729,0.001051429,0.002061
39,Southern,Night Owl,0.493010011,0.114987142,0.002106755,0.004130843
40,Northern,Afternoon,0.489156215,0.099397945,0.000211845,0.000415211
40,Northern,Evening,0.485610263,0.098872243,0.000248548,0.000487149
40,Northern,Morning,0.492795964,0.099661547,0.000391559,0.000767456
40,Northern,Night Owl,0.463664858,0.10364016,0.000741138,0.001452694
40,Southern,Afternoon,0.515857876,0.110996932,0.000603333,0.001182554
40,Southern,Evening,0.51604568,0.108846902,0.00064943,0.001272915
40,Southern,Morning,0.508142556,0.112494731,0.001047517,0.002053311
40,Southern,Night Owl,0.494960129,0.117879929,0.002058901,0.004036862
41,Northern,Afternoon,0.488617214,0.098931026,0.000209821,0.000411244
41,Northern,Evening,0.484803515,0.098699781,0.000246431,0.000482999
41,Northern,Morning,0.49145099,0.098680972,0.00038527,0.000755129
41,Northern,Night Owl,0.463892642,0.101881157,0.000721311,0.001413829
41,Southern,Afternoon,0.51380948,0.108021896,0.000569499,0.001116236
41,Southern,Evening,0.515272422,0.106690458,0.000617699,0.001210718
41,Southern,Morning,0.509945342,0.107296082,0.000954923,0.001871793
41,Southern,Night Owl,0.49392378,0.115003168,0.001925026,0.003774261
42,Northern,Afternoon,0.488769874,0.098843485,0.00020825,0.000408164
42,Northern,Evening,0.48539415,0.097656782,0.000241537,0.000473407
42,Northern,Morning,0.491476715,0.099126467,0.000383647,0.000751947
42,Northern,Night Owl,0.465469496,0.103689754,0.00072828,0.001427487
42,Southern,Afternoon,0.514233027,0.107317987,0.000560616,0.001098823
42,Southern,Evening,0.515088791,0.105871649,0.000606438,0.001188644
42,Southern,Morning,0.508968918,0.105837322,0.000931088,0.00182507
42,Southern,Night Owl,0.495155886,0.111359065,0.001832466,0.003592745
43,Northern,Afternoon,0.489303554,0.098693548,0.000206858,0.000405437
43,Northern,Evening,0.486236803,0.09774821,0.000240132,0.000470654
43,Northern,Morning,0.492567157,0.098005255,0.000376187,0.000737327
43,Northern,Night Owl,0.464351813,0.102773982,0.000714743,0.001400953
43,Southern,Afternoon,0.516291876,0.106955455,0.000550885,0.00107975
43,Southern,Evening,0.518149031,0.104842868,0.0005917,0.001159756
43,Southern,Morning,0.511482536,0.105437567,0.000915776,0.001795051
43,Southern,Night Owl,0.493081092,0.117045261,0.001910323,0.003745371
44,Northern,Afternoon,0.490259176,0.099391074,0.000207341,0.000406383
44,Northern,Evening,0.487311258,0.098192885,0.00023962,0.000469649
44,Northern,Morning,0.493058972,0.099050104,0.000377321,0.000739548
44,Northern,Night Owl,0.466223659,0.103473876,0.000713071,0.001397673
44,Southern,Afternoon,0.514676867,0.108816176,0.000558715,0.001095097
44,Southern,Evening,0.516044091,0.10699565,0.000601412,0.001178792
44,Southern,Morning,0.511062005,0.106099567,0.000914821,0.001793178
44,Southern,Night Owl,0.493288721,0.109048855,0.001771338,0.003472869
45,Northern,Afternoon,0.490575732,0.099928437,0.000207097,0.000405905
45,Northern,Evening,0.487690058,0.098249241,0.00023793,0.000466338
45,Northern,Morning,0.493875038,0.100007563,0.000378844,0.000742533
45,Northern,Night Owl,0.465228778,0.102906913,0.000705073,0.001381997
45,Southern,Afternoon,0.51224426,0.107119337,0.000543284,0.001064851
45,Southern,Evening,0.51336737,0.106474012,0.000591203,0.00115878
45,Southern,Morning,0.508222504,0.105385385,0.000892296,0.001749019
45,Southern,Night Owl,0.489994599,0.110761993,0.001774522,0.00347908
46,Northern,Afternoon,0.489112686,0.099966945,0.000205955,0.000403667
46,Northern,Evening,0.486147797,0.098499666,0.000236834,0.00046419
46,Northern,Morning,0.493386216,0.099367811,0.000373981,0.000733002
46,Northern,Night Owl,0.464573738,0.103164764,0.000700409,0.001372853
46,Southern,Afternoon,0.513584903,0.106970847,0.000537108,0.001052745
46,Southern,Evening,0.514097802,0.105640612,0.0005797,0.001136232
46,Southern,Morning,0.51019665,0.103964551,0.00087098,0.001707235
46,Southern,Night Owl,0.490013072,0.113526741,0.00179099,0.003511334
47,Northern,Afternoon,0.489311227,0.098143326,0.000200255,0.000392495
47,Northern,Evening,0.486109972,0.097580053,0.000232308,0.000455318
47,Northern,Morning,0.493983299,0.098318089,0.000366626,0.000718587
47,Northern,Night Owl,0.464595405,0.101193142,0.000682539,0.001337825
47,Southern,Afternoon,0.513106248,0.105594243,0.000525266,0.001029534
47,Southern,Evening,0.513840512,0.10518164,0.000572418,0.001121958
47,Southern,Morning,0.50945952,0.103151541,0.000854567,0.001675059
47,Southern,Night Owl,0.489530519,0.112060415,0.001746473,0.00342403
48,Northern,Afternoon,0.490788646,0.098443566,0.000199897,0.000391793
48,Northern,Evening,0.488001124,0.096853057,0.000228635,0.000448119
48,Northern,Morning,0.494974909,0.099349721,0.000368612,0.000722479
48,Northern,Night Owl,0.465672507,0.101736852,0.000678729,0.001330355
48,Southern,Afternoon,0.513907801,0.105143311,0.000511805,0.001003149
48,Southern,Evening,0.515233266,0.102584102,0.000546954,0.001072047
48,Southern,Morning,0.508502331,0.104553717,0.000852004,0.001670031
48,Southern,Night Owl,0.493794439,0.111894116,0.001719617,0.003371352
49,Northern,Afternoon,0.489688559,0.097132393,0.000195271,0.000382727
49,Northern,Evening,0.487313548,0.096534329,0.000226009,0.000442973
49,Northern,Morning,0.493664768,0.097820454,0.000358586,0.000702828
49,Northern,Night Owl,0.46512144,0.100617254,0.000664752,0.00130296
49,Southern,Afternoon,0.513072415,0.10529522,0.000510007,0.000999624
49,Southern,Evening,0.51382552,0.104384198,0.000552491,0.001082899
49,Southern,Morning,0.507940122,0.104375697,0.000841302,0.001649051
49,Southern,Night Owl,0.491903005,0.114796989,0.00174416,0.003419446
50,Northern,Afternoon,0.489161567,0.097018315,0.000193375,0.00037901
